,date,open,high,low,close,volume
0,2021-06-01 15:00:00+05:30,264.9,272.25,264.1,271.45,59125
1,2021-06-01 15:01:00+05:30,271.15,281.65,270.7,273.2,90950
2,2021-06-01 15:02:00+05:30,273.0,279.5,270.5,270.75,34500
3,2021-06-01 15:03:00+05:30,272.05,278.95,270.9,275.4,24250
4,2021-06-01 15:04:00+05:30,274.6,279.0,270.0,272.55,42250
5,2021-06-01 15:05:00+05:30,275.0,277.65,262.35,264.0,87850
6,2021-06-01 15:06:00+05:30,263.2,269.15,253.9,258.25,96250
7,2021-06-01 15:07:00+05:30,258.5,262.8,243.95,246.8,115975
8,2021-06-01 15:08:00+05:30,248.8,248.8,230.25,232.8,161600
9,2021-06-01 15:09:00+05:30,234.95,249.0,233.05,245.4,126475
10,2021-06-01 15:10:00+05:30,248.4,267.5,246.35,263.2,157575
11,2021-06-01 15:11:00+05:30,262.7,269.55,258.55,263.1,106150
12,2021-06-01 15:12:00+05:30,265.75,268.0,254.0,259.5,71100
13,2021-06-01 15:13:00+05:30,261.05,266.0,256.65,262.55,55850
14,2021-06-01 15:14:00+05:30,261.45,269.7,261.0,262.65,61550
15,2021-06-01 15:15:00+05:30,263.45,268.55,261.1,264.7,52550
16,2021-06-01 15:16:00+05:30,264.85,265.1,259.35,259.8,52650
17,2021-06-01 15:17:00+05:30,260.0,264.95,259.3,262.1,34625
18,2021-06-01 15:18:00+05:30,261.65,265.9,260.1,263.75,51125
19,2021-06-01 15:19:00+05:30,264.8,267.5,262.7,264.2,73525
20,2021-06-01 15:20:00+05:30,265.95,270.95,255.2,257.75,127150
21,2021-06-01 15:21:00+05:30,259.35,261.65,254.15,256.3,76475
